TotalPop,Female,Male,Asian,NonHispA,White,NonHispW,Am_Indian,Hawaii_PI,TotalHisp,NonHispB,Black,OtherRace,Bachelor,Associate,Master,HighSch,College,9_12Grade,Less9Grade,25_Older,Pop5Plus,CashAssis,BelowPover,MedianInco,Unemployed,BornForeig,ArmedForce,WithChild,Married,Profession,insurance,Disabili,NAME,state,county,tract
2746,1345,1401,136,112,2282,2155,0,0,300,36,36,66,613,43,431,78,218,42,17,2038,2467,9,46,211023,0,251,14,321,1503,916,2699,436,Census Tract 1; San Diego County; California,6,73,100
2376,1207,1169,136,136,2082,2049,0,0,82,0,0,9,706,73,373,98,253,33,0,1924,2299,87,210,110476,40,188,0,216,916,897,2360,282,Census Tract 2.01; San Diego County; California,6,73,201
4019,1955,2064,184,184,3297,2947,0,0,769,29,29,234,1424,250,409,238,745,55,38,3503,3960,210,158,121264,151,709,76,280,1176,1682,3719,297,Census Tract 2.02; San Diego County; California,6,73,202
2487,1262,1225,131,120,1771,1579,80,61,531,22,22,97,722,149,398,176,387,51,1,2172,2385,140,386,79605,82,492,40,131,1036,988,2383,169,Census Tract 3.01; San Diego County; California,6,73,301
2925,1387,1538,188,188,2135,1924,14,0,554,113,113,173,599,112,409,137,609,31,10,2515,2925,140,277,89850,81,481,13,77,624,1246,2503,259,Census Tract 3.02; San Diego County; California,6,73,302
4079,1562,2517,560,500,2246,1867,0,0,1346,43,43,838,1290,146,674,540,598,0,0,3777,4033,211,305,89565,168,672,351,133,1318,1793,3493,396,Census Tract 4; San Diego County; California,6,73,400
2828,1467,1361,153,153,1871,1825,74,0,607,43,43,152,742,156,365,233,413,64,28,2331,2668,113,141,101875,113,419,31,271,1033,1010,2704,310,Census Tract 5; San Diego County; California,6,73,500
3111,1300,1811,229,229,2315,2037,0,0,535,154,196,56,1060,161,526,220,638,67,32,2891,3047,132,146,99161,98,399,32,107,852,1592,3054,305,Census Tract 6; San Diego County; California,6,73,600
4371,1992,2379,279,279,3179,2777,39,0,1049,77,77,412,1541,421,642,330,670,0,0,4032,4170,221,315,109484,90,510,89,200,1353,1791,4151,470,Census Tract 7; San Diego County; California,6,73,700
5105,2543,2562,324,324,3349,2902,16,0,1316,416,460,312,1876,422,498,293,930,51,105,4530,4929,272,372,92348,150,688,184,321,1635,1692,4698,508,Census Tract 8; San Diego County; California,6,73,800
3951,2039,1912,154,154,2497,2048,8,0,1177,264,264,128,1501,86,593,221,572,94,127,3421,3778,185,538,106133,79,899,116,254,1316,1566,3342,150,Census Tract 9.01; San Diego County; California,6,73,901
2661,1522,1139,384,384,1725,1619,8,0,357,236,236,77,673,183,308,313,455,25,47,2312,2601,246,388,83678,64,634,91,137,820,826,2396,407,Census Tract 9.02; San Diego County; California,6,73,902
4622,2399,2223,259,259,2728,2183,95,0,1590,220,268,123,1482,404,589,287,755,110,22,3924,4417,280,385,86443,125,628,121,310,1216,1919,4409,369,Census Tract 10; San Diego County; California,6,73,1000
2939,1372,1567,289,258,1701,1465,19,0,643,183,183,210,844,317,379,183,457,8,0,2513,2799,124,111,94007,109,417,122,164,946,1396,2742,246,Census Tract 11; San Diego County; California,6,73,1100
2290,1203,1087,134,134,1256,720,0,0,1064,346,346,103,533,305,186,260,454,78,34,2002,2209,111,235,68750,107,572,0,110,665,632,2034,146,Census Tract 12.01; San Diego County; California,6,73,1201
2966,1438,1528,176,109,1901,1681,34,0,615,376,376,90,983,197,337,201,699,59,0,2650,2902,193,472,102857,133,237,55,132,550,1330,2750,197,Census Tract 12.02; San Diego County; California,6,73,1202
2713,1285,1428,203,181,1669,1319,50,0,964,109,109,155,1015,255,200,84,442,0,26,2262,2656,67,196,105903,73,194,10,188,325,1503,2326,153,Census Tract 13.01; San Diego County; California,6,73,1301
3245,1522,1723,425,324,1727,1411,0,0,983,198,198,362,1216,310,347,273,370,25,0,2759,3180,229,259,83659,42,504,44,148,764,1592,3148,247,Census Tract 13.02; San Diego County; California,6,73,1302
3341,1618,1723,143,143,2634,2389,0,15,622,48,65,143,1040,176,476,163,519,64,20,2778,3235,198,325,94156,143,462,26,235,1070,1474,3158,151,Census Tract 14; San Diego County; California,6,73,1400
3934,1923,2011,128,121,2799,2491,50,0,816,84,95,196,1094,350,552,218,695,78,14,3348,3696,148,163,110380,114,343,36,329,1343,1677,3704,458,Census Tract 15; San Diego County; California,6,73,1500
5065,2607,2458,247,247,1829,1248,15,0,2768,634,634,504,1026,187,220,376,1195,265,169,3715,4838,371,1100,63003,333,1763,15,450,1236,1005,4217,455,Census Tract 16; San Diego County; California,6,73,1600
4846,2596,2250,439,439,2620,2235,55,22,1786,167,167,571,1333,394,465,433,993,17,167,3958,4794,228,442,90404,92,767,22,505,1464,1970,4733,510,Census Tract 17; San Diego County; California,6,73,1700
1805,882,923,155,155,866,569,0,0,928,44,56,461,376,187,232,177,296,56,28,1455,1722,152,137,70682,22,640,0,124,311,460,1722,154,Census Tract 18.01; San Diego County; California,6,73,1801
3248,1568,1680,121,107,1935,1732,0,0,1186,87,94,237,756,211,497,173,701,161,38,2819,3175,172,382,82013,141,493,25,194,916,1324,2927,292,Census Tract 18.02; San Diego County; California,6,73,1802
3343,1817,1526,138,138,2296,2027,28,13,842,42,42,209,1043,212,456,243,528,44,17,2928,3249,231,351,131619,6,357,8,238,1329,1385,3185,521,Census Tract 19; San Diego County; California,6,73,1900
3566,1657,1909,257,233,2713,2680,10,0,492,42,42,185,1308,187,486,139,384,18,0,2947,3432,40,248,188306,197,253,21,288,1961,1235,3448,359,Census Tract 20.01; San Diego County; California,6,73,2001
2626,1162,1464,238,238,1937,1751,72,0,350,106,106,55,732,84,325,167,474,28,0,2088,2459,89,173,166605,55,221,61,278,1201,1002,2519,226,Census Tract 20.02; San Diego County; California,6,73,2002
5795,2876,2919,367,367,2657,2196,256,0,2431,645,645,633,1426,215,865,411,485,300,95,4258,5585,494,778,76648,125,977,42,497,1811,2247,5454,317,Census Tract 21; San Diego County; California,6,73,2100
3145,1619,1526,525,525,620,502,33,0,1146,805,805,697,356,227,70,799,357,81,116,2211,3059,316,928,40647,170,931,91,331,923,284,2773,346,Census Tract 22.01; San Diego County; California,6,73,2201
4825,2195,2630,988,988,1262,508,15,0,2289,942,955,893,430,229,97,551,634,451,392,3129,4637,564,1147,53537,130,2203,35,510,1446,531,3945,710,Census Tract 22.02; San Diego County; California,6,73,2202
3190,1626,1564,479,479,1335,991,36,0,965,558,567,351,564,375,378,309,353,112,137,2553,3034,331,264,76884,66,906,25,302,798,919,2852,355,Census Tract 23.01; San Diego County; California,6,73,2301
5882,3038,2844,2599,2599,1523,548,9,0,2443,276,276,617,510,399,25,1343,467,763,383,4259,5680,350,1154,46806,385,2596,0,505,1711,747,4603,988,Census Tract 23.02; San Diego County; California,6,73,2302
4314,1976,2338,423,380,2196,1448,41,0,2060,235,245,730,710,217,370,280,709,213,64,3035,4120,349,834,75813,126,946,103,467,1284,877,3635,459,Census Tract 24.01; San Diego County; California,6,73,2401
4951,2671,2280,502,502,747,405,201,11,3290,743,773,1230,449,198,49,654,441,378,613,3378,4692,378,888,54944,99,1900,0,728,1457,427,4099,468,Census Tract 24.02; San Diego County; California,6,73,2402
4878,2249,2629,725,701,1291,649,52,27,3137,340,547,1348,338,241,133,788,583,336,381,3123,4546,335,1251,76208,235,1409,66,588,1563,657,4205,553,Census Tract 25.01; San Diego County; California,6,73,2501
6932,3412,3520,623,623,2529,2120,104,179,3114,368,423,1410,1016,288,557,921,923,205,241,4638,6729,425,1021,94092,464,2125,60,761,2151,1545,5492,837,Census Tract 25.02; San Diego County; California,6,73,2502
5994,3133,2861,1447,1440,1001,608,8,35,3498,388,388,1569,431,215,138,652,582,540,486,3750,5405,508,1481,65000,115,1936,12,799,2022,639,5245,589,Census Tract 26.01; San Diego County; California,6,73,2601
4655,2437,2218,738,716,1355,743,0,0,2722,404,404,1111,443,155,111,1026,460,406,130,3145,4403,420,960,58417,148,1739,0,563,1223,545,3920,872,Census Tract 26.02; San Diego County; California,6,73,2602
5559,2616,2943,1000,990,2189,1766,0,11,1609,817,830,44,958,259,370,736,637,125,38,3734,5234,288,606,80090,122,1624,0,671,2061,1234,4818,496,Census Tract 27.02; San Diego County; California,6,73,2702
7082,3563,3519,508,476,3295,2186,11,0,3705,444,495,1517,710,310,455,528,1249,685,242,4576,6778,313,843,83644,119,1294,0,788,2536,1398,6115,802,Census Tract 27.03; San Diego County; California,6,73,2703
4756,2651,2105,1620,1620,1330,919,85,0,1573,476,476,603,554,252,141,459,629,115,272,3035,4183,354,898,75703,130,1711,31,509,1741,690,4509,439,Census Tract 27.05; San Diego County; California,6,73,2705
4980,2212,2768,804,804,370,169,252,162,2418,617,617,887,214,0,72,437,542,1085,316,3145,4592,551,1706,45529,83,2548,61,660,1295,226,3626,536,Census Tract 27.07; San Diego County; California,6,73,2707
4789,2515,2274,859,859,1031,352,13,0,2619,668,668,1084,347,317,170,416,667,285,335,2973,4506,646,1027,41119,178,1854,75,613,1298,696,3960,370,Census Tract 27.08; San Diego County; California,6,73,2708
3800,2072,1728,299,299,676,510,1,0,1977,888,911,655,241,150,93,448,464,445,210,2232,3571,453,1400,53520,120,1488,45,482,1315,182,3232,497,Census Tract 27.09; San Diego County; California,6,73,2709
3921,2081,1840,947,947,1157,628,3,0,1825,447,461,469,347,127,47,466,342,290,261,2321,3603,337,728,58636,131,1663,0,510,1015,444,3125,415,Census Tract 27.10; San Diego County; California,6,73,2710
3772,1874,1898,784,784,740,551,29,224,1180,831,838,613,380,127,75,458,669,138,53,2160,3352,127,320,87011,82,962,383,623,1467,403,3222,248,Census Tract 27.11; San Diego County; California,6,73,2711
5566,2931,2635,795,713,1360,736,53,0,2674,1342,1342,896,468,153,215,873,894,404,214,3615,5145,388,1529,54083,338,1762,8,605,1657,542,4813,721,Census Tract 27.12; San Diego County; California,6,73,2712
4477,2681,1796,647,632,2967,2675,24,14,786,201,206,260,245,70,127,123,194,0,22,897,4441,56,741,73795,188,322,0,100,490,642,4343,350,Census Tract 28.01; San Diego County; California,6,73,2801
5207,2571,2636,781,781,2272,1961,70,0,1534,330,330,587,1195,214,549,494,798,180,142,4101,5127,240,809,80991,145,1372,371,439,1698,1202,4703,600,Census Tract 28.03; San Diego County; California,6,73,2803
5541,2453,3088,604,598,3572,2896,171,0,1329,317,317,314,907,132,228,295,701,79,81,2666,5349,135,1169,88156,220,800,35,322,1752,1385,5070,282,Census Tract 28.04; San Diego County; California,6,73,2804
5979,3075,2904,550,550,3644,3009,0,0,1674,365,393,486,1120,593,798,747,554,151,5,4068,5624,243,928,75729,292,949,0,453,2085,1858,5554,362,Census Tract 29.02; San Diego County; California,6,73,2902
4606,2264,2342,552,492,1797,1526,0,95,1721,286,298,1011,563,520,148,457,845,199,25,2932,4029,209,547,93344,192,772,301,446,1769,1182,4237,251,Census Tract 29.03; San Diego County; California,6,73,2903
9812,4730,5082,940,915,6382,5683,25,14,1413,1268,1268,533,728,325,408,576,511,74,2,2840,9512,328,3370,45746,457,929,49,339,1051,1671,9313,622,Census Tract 29.04; San Diego County; California,6,73,2904
5310,2546,2764,423,423,2368,2120,0,0,1652,685,760,403,837,297,353,268,1146,303,100,3415,4841,425,1532,74500,214,901,15,506,1795,1202,5143,744,Census Tract 29.05; San Diego County; California,6,73,2905
4484,2362,2122,233,233,1034,504,0,581,1599,1261,1269,385,415,159,349,850,551,85,94,2684,3947,168,453,91397,69,757,393,568,1109,708,3882,349,Census Tract 30.01; San Diego County; California,6,73,3001
4926,2207,2719,400,400,1664,825,82,0,2581,712,777,737,467,382,172,983,785,87,83,3451,4693,140,775,84622,126,929,58,570,1855,596,4626,580,Census Tract 30.03; San Diego County; California,6,73,3003
5260,2764,2496,178,178,1685,518,0,0,3730,751,1138,1096,332,140,164,837,742,552,300,3341,4953,458,644,64815,423,1623,19,701,1555,530,4479,519,Census Tract 30.04; San Diego County; California,6,73,3004
3913,1886,2027,732,732,884,313,0,0,1774,1028,1038,956,403,231,110,494,680,201,149,2607,3706,211,335,88229,44,892,53,451,1380,595,3270,392,Census Tract 31.01; San Diego County; California,6,73,3101
6462,2978,3484,659,642,797,439,0,8,3480,1397,1513,1920,361,485,155,1268,1088,577,160,4545,6071,332,467,99919,137,1523,116,768,2845,637,6056,1055,Census Tract 31.03; San Diego County; California,6,73,3103
4343,2174,2169,413,413,1586,755,33,0,2709,379,396,1170,337,87,124,952,773,455,61,3009,4193,77,432,108068,132,1121,11,412,1573,514,4073,336,Census Tract 31.05; San Diego County; California,6,73,3105
5307,2709,2598,1288,1265,1551,1211,0,159,1841,763,801,619,576,459,219,944,1066,210,203,4078,5141,171,433,97105,120,1621,42,563,2423,776,4902,791,Census Tract 31.07; San Diego County; California,6,73,3107
3526,1608,1918,296,286,1068,678,99,107,2083,218,218,1292,505,250,77,568,473,194,45,2376,3225,157,251,112837,121,662,84,375,1579,574,3274,368,Census Tract 31.08; San Diego County; California,6,73,3108
3319,1501,1818,1981,1963,240,195,31,23,590,397,397,142,598,245,51,403,885,78,30,2451,3152,53,373,123368,78,1487,101,334,1693,421,3081,560,Census Tract 31.09; San Diego County; California,6,73,3109
6211,2987,3224,1743,1621,1647,201,28,0,3236,909,915,1144,544,311,130,905,659,448,223,3813,5845,527,1532,46528,274,2082,6,818,2075,649,5239,753,Census Tract 31.11; San Diego County; California,6,73,3111
3938,1983,1955,875,875,554,231,36,0,2027,447,489,1016,423,247,94,433,732,219,190,2612,3603,204,198,85965,55,1244,11,537,1782,549,3637,334,Census Tract 31.12; San Diego County; California,6,73,3112
4719,2445,2274,2010,2010,644,391,0,254,998,579,589,666,563,309,189,961,887,252,110,3511,4549,212,347,114028,117,1655,67,433,1922,761,4108,678,Census Tract 31.13; San Diego County; California,6,73,3113
3482,1687,1795,1804,1775,645,420,14,65,600,473,479,153,651,148,53,690,513,81,110,2439,3387,303,326,110081,183,1254,49,290,1618,375,3218,620,Census Tract 31.14; San Diego County; California,6,73,3114
5613,3006,2607,2771,2728,991,338,17,16,1708,593,593,509,688,472,133,1154,1030,266,136,4197,5444,331,917,85156,129,2508,17,591,2513,624,5400,959,Census Tract 31.15; San Diego County; California,6,73,3115
5488,2896,2592,1678,1422,1061,475,44,239,2125,734,734,882,525,316,58,1057,687,384,172,3349,4967,141,628,93508,207,1318,269,904,2206,612,4841,744,Census Tract 32.01; San Diego County; California,6,73,3201
4891,2206,2685,296,293,1664,509,19,3,3562,388,393,1168,490,249,171,1036,598,526,104,3492,4603,248,173,91435,73,1109,121,528,1719,945,4080,405,Census Tract 32.02; San Diego County; California,6,73,3202
3605,1834,1771,616,390,1298,896,0,0,2040,70,70,833,559,210,150,613,591,64,90,2439,3259,63,312,118750,140,719,0,377,1594,820,3410,249,Census Tract 32.04; San Diego County; California,6,73,3204
5768,2961,2807,1102,1048,2429,1945,0,53,2363,98,98,425,972,359,258,1241,865,226,169,4680,5591,214,344,109704,207,1630,199,467,2432,998,5162,629,Census Tract 32.07; San Diego County; California,6,73,3207
6749,3568,3181,2110,2093,1477,407,25,0,2561,748,748,917,682,445,189,1445,896,159,114,4240,6480,469,708,82594,180,1970,342,927,2509,782,5889,1058,Census Tract 32.08; San Diego County; California,6,73,3208
5277,2866,2411,1843,1828,1170,712,0,247,1617,665,665,412,726,369,217,566,1203,424,115,3804,5183,209,161,80436,272,1912,0,477,2073,985,5170,381,Census Tract 32.09; San Diego County; California,6,73,3209
